,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Perc,Asym,coo,double_support,stance_speed,swing_length,coo_stance,coo_swing,duty_factor,stance_duration
0,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,1,0,0,0,-0.9046149976325353,-0.7701700383966426,1.3851947185280507,-0.007986579292462104,0.07090713038583374,-0.6560778377031795,0.39596172294236,-1.707167889340262,-6.060606060606915
1,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,1,0,0,1,-0.45844184027775725,-0.9203034217911608,-0.24555539170577223,0.007117553437847757,-1.6214235864504332,-1.5208331021395338,0.3005808049982477,0.4158712141989156,-3.0303030303030027
2,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,1,0,0,2,-2.4346476853495744,-1.1311858591407429,0.067629302503319,0.0009869392619237805,2.491690895774127,0.12594666143860422,-2.8284670126558424,4.259884450289338,7.575757575757052
3,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,1,0,0,3,0.3468908444799723,-0.942465271612626,0.7601482170368605,-0.0005880109551438251,-0.042208276613791895,-1.1487074572630291,-1.1889082012754386,-0.4160896886556742,-3.0303030303020932
4,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,1,0,0,4,1.0489800963739242,0.05257635405569516,-1.744201679993278,-0.009378502045908926,-1.457630504261374,0.014503556068504508,-0.6773341785777802,-1.7185986581601114,-6.0606060606078245
5,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,1,0,0,5,-1.1174673985953234,-0.6003692896679418,-1.718040215692798,0.004366960346226786,1.8315093685882289,-0.22901284574255953,-0.8762128425366882,-0.24053497069684582,1.515151515155594
6,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,1,0,0,6,-0.23823747731213984,-0.9780479199958592,4.087963534310565,-0.002978437613400442,-1.245556455669984,-1.3670487837357825,-0.7969673233802723,-0.5834688933010099,-7.275957614183426e-12
7,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,1,0,0,7,-0.09572963521938505,0.34248852970623034,0.6481972168246675,0.004366113451635678,1.3417176526002237,1.7037093037307045,-0.6264156765408018,1.5753157183163395,3.0303030303039122
8,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,1,0,0,8,-0.04673196811864955,0.05187024973854193,3.6332718436903386,-0.004615834769274768,0.4066467285156108,-0.27361783114341165,-0.6561972878195945,-0.7006066574971896,3.0303030302966363
9,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,1,0,0,9,-0.9015401204427036,-0.1954271335794573,-0.051932871124444446,-0.0021588637373105013,-0.7877927837949699,-0.5736418444700604,0.2349641587998974,-0.24474280045783914,-7.275957614183426e-12
10,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,2,1,1,0,-0.7899660052675017,-0.6151738792958881,0.16876179156880866,-0.005576333638610653,0.3226309111624204,-0.6959838096541375,-1.2865220657502618,-1.1171092096092465,1.5151515151503645
11,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,2,1,1,1,-1.4965404163707205,-0.2065928295405115,0.5730191131392965,-0.004102884327889425,-0.35495180072206267,-1.4565188475329194,-0.381065137458549,0.8660476942069444,3.0303030303039122
12,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,2,1,1,2,2.519071945036359,0.0071978328203812225,-1.1264068555735225,-0.003667845287225635,-1.1762137364859626,0.7400531961460501,-0.01395639747079258,-2.3076992553011593,-6.0606060606078245
13,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,2,1,1,3,-0.5522602736348006,-0.33215416802298137,3.716766949175134,-0.0009480797750307801,1.1629586267953442,0.4451096659958864,-0.7633093631628753,1.7410182137939714,3.0303030302966363
14,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,2,1,1,4,-1.0855164190735138,0.5943587332061071,1.5559336697548085,-9.894130411280955e-05,-1.3068998702849086,1.0175570093020383,0.48519481312143853,-0.19385850369013724,-6.0606060606078245
15,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,2,1,1,5,2.9782304860124924,1.0108967020053896,-3.146100545346128,0.0006023206113475732,-0.7228504527698618,0.6898629544961494,1.2460702196114823,-2.8344715498832436,-7.575757575759781
