,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Asym,coo,double_support,stance_speed,swing_length,coo_stance,coo_swing,stance_duration
0,NotAtaxic,Switch,SwitchLeft01,S1,Baseline,1,0,0,0.12690996882895433,,,,,,,
1,,,,,,,,,,0.13427349052044235,0.6398032427780711,-0.0032149403007614152,0.0,0.09610725171631884,0.2112340445470693,0.0
2,NotAtaxic,Switch,SwitchLeft01,S1,Baseline,2,1,1,-0.6843181571575485,,,,,,,
3,,,,,,,,,,0.0,0.0,0.0028473779080615547,-0.7068364307134232,-0.16955366038320108,0.0,-3.0303030303002743
4,NotAtaxic,Switch,SwitchLeft01,S1,Baseline,3,2,2,0.0,,,,,,,
5,,,,,,,,,,-0.04558563232421875,-0.1396705630115247,0.0,0.12341123638734075,0.0,-0.27256204624364955,3.0303030303002743
6,NotAtaxic,Switch,SwitchLeft01,S1,Split,4,0,0,-7.062754004892653,,,,,,,
7,,,,,,,,,,-3.8480305912518773,10.611521805827902,-0.1382439142814424,10.805773494219551,3.1687187426017545,-11.666151489874267,-27.27272727273089
8,NotAtaxic,Switch,SwitchLeft01,S1,Intersplit,5,0,0,1.3215960878314092,,,,,,,
9,,,,,,,,,,0.7045832547274458,-2.591369951081689,-0.003233140451652558,0.7838085444286946,0.2522545631485187,0.5373290090849991,1.5151515151519561
10,NotAtaxic,Switch,SwitchLeft01,S1,Intersplit,6,1,1,1.2111239963107323,,,,,,,
11,,,,,,,,,,0.3585381941362016,-1.6355663127725713,-0.0023490931962051875,0.8546694360598224,0.009047383009715304,0.5270389595417129,3.0303030302993648
12,NotAtaxic,Switch,SwitchLeft01,S1,Intersplit,7,2,2,0.5819301412562652,,,,,,,
13,,,,,,,,,,0.14612409803602588,0.30795061514884114,0.00042370006246633674,-0.033815942629388474,-0.6963286736999521,0.5008658977470191,-3.637978807091713e-12
14,NotAtaxic,Switch,SwitchLeft01,S1,Split,8,1,1,-5.443149142795107,,,,,,,
15,,,,,,,,,,-2.889388498633778,5.410195686616244,-0.14319982746199028,10.190166126598058,3.611915280120513,-10.108082703869727,-27.272727272731572
16,NotAtaxic,Switch,SwitchLeft01,S1,Intersplit,9,3,3,1.107179275666823,,,,,,,
17,,,,,,,,,,0.5106376879143326,-2.356712123897678,-0.0026803537511086994,1.1508209536774245,0.2090550432301228,0.811341796258489,3.0303030302966363
18,NotAtaxic,Switch,SwitchLeft01,S1,Intersplit,10,4,4,2.5317105379971565,,,,,,,
19,,,,,,,,,,0.7785710421475471,-1.8210244565093587,-0.0016149318313741778,0.5738383591777279,0.8544883342703855,1.5184152005898994,3.030303030293908
20,NotAtaxic,Switch,SwitchLeft01,S1,Intersplit,11,5,5,2.7711964616871825,,,,,,,
21,,,,,,,,,,1.1693752173221625,-2.3067677143825005,0.0005594968705094211,0.2169753565932666,1.0579359651815707,1.38443648213088,3.030303030293908
22,NotAtaxic,Switch,SwitchLeft01,S1,Split,12,2,2,-2.4612118499447604,,,,,,,
23,,,,,,,,,,-1.8436354820174614,1.107217772692601,-0.14496686893934532,12.04829360499528,4.78789204298846,-9.267687556719551,-30.30303030302821
24,NotAtaxic,Switch,SwitchLeft01,S1,Intersplit,13,6,6,2.8783239499486797,,,,,,,
25,,,,,,,,,,0.6761444939507442,-2.0549846082597805,-0.0037250402024052998,0.981987847222257,0.9145216508344589,0.8077602193812936,3.0303030303002743
26,NotAtaxic,Switch,SwitchLeft01,S1,Intersplit,14,7,7,1.8408573035037818,,,,,,,
27,,,,,,,,,,1.0456114104299914,-1.565288000904931,-3.7310976271368035e-05,0.17583827779753847,0.9016903963955372,1.3491023670543427,3.0303030302966363
28,NotAtaxic,Switch,SwitchLeft01,S1,Intersplit,15,8,8,3.4885290897253185,,,,,,,
29,,,,,,,,,,1.3600859979186595,-3.755436020882245,-0.003907253140598144,0.46735050702335457,0.8041613029710959,1.6593509250217267,3.0303030302857223
30,NotAtaxic,Switch,SwitchLeft01,S1,Split,16,3,3,-2.2885871656013705,,,,,,,
31,,,,,,,,,,-1.2776904635958886,3.9999212155721002,-0.1435354192552769,11.758808174518606,5.273360435408733,-8.54268700185446,-24.242424242434936
32,NotAtaxic,Switch,SwitchLeft01,S1,Washout,17,0,0,2.699187307646781,,,,,,,
33,,,,,,,,,,1.520031630390811,-3.8716946591307897,-0.002427072575888811,0.7226038460779733,1.3283238266452884,1.6399942263208516,3.0303030302961815
34,NotAtaxic,Switch,SwitchLeft01,S1,Washout,18,1,1,3.2581676136363455,,,,,,,
35,,,,,,,,,,1.604887451788386,-2.402052562235628,-0.001787243008439826,1.7036206794508075,1.2386668812144421,1.5468481815222788,0.0
36,NotAtaxic,Switch,SwitchLeft01,S1,Washout,19,2,2,1.79913453381468,,,,,,,
37,,,,,,,,,,1.0045745156028119,-1.3900842179341018,0.0036806641950691416,-0.0012407399186997736,0.6213005142981984,1.1660874491990256,0.0
38,NotAtaxic,Switch,SwitchLeft01,S1,Washout,20,3,3,3.350768426452049,,,,,,,
39,,,,,,,,,,1.3418552985228729,-1.5481364451616164,-0.00014525466576228996,0.030779597735204334,1.2215431290443064,1.5437270655777127,-3.637978807091713e-12
40,NotAtaxic,Switch,SwitchLeft01,S1,Washout,21,4,4,1.9058073409880194,,,,,,,
41,,,,,,,,,,1.0601188197280464,-2.554920970933485,0.002791205926981122,-0.635243425465589,0.7115142514006578,1.539854569868595,-7.275957614183426e-12
42,NotAtaxic,Switch,SwitchLeft01,S2,Baseline,22,0,3,-0.6928723267834869,,,,,,,
43,,,,,,,,,,-0.1502162278300574,0.931749858254098,-0.0004071427030998276,-0.34603542751736427,-0.16971164279519257,-0.3851457075638791,3.0303030303002743
44,NotAtaxic,Switch,SwitchLeft01,S2,Baseline,23,1,4,0.3461895566997839,,,,,,,
45,,,,,,,,,,0.21148257785371527,-0.7292088820480069,0.002072574379702874,-0.7199990628945727,0.12826245240489698,0.07596256757028641,3.0303030302929983
46,NotAtaxic,Switch,SwitchLeft01,S2,Baseline,24,2,5,-1.0025640930792292,,,,,,,
47,,,,,,,,,,0.3358821676234669,1.1100029776836882,0.000819984221886727,0.06249167702415548,0.7243737169845872,-0.14183352691958362,3.0303030303002743
48,NotAtaxic,Switch,SwitchLeft01,S2,Split,25,0,4,-4.514551644373441,,,,,,,
49,,,,,,,,,,-2.6225311587555,7.613751977436704,-0.13832465111142794,11.039556638158928,4.226721175993291,-10.479397243923628,-15.1515151515232
50,NotAtaxic,Switch,SwitchLeft01,S2,Intersplit,26,0,9,-0.2791048300387047,,,,,,,
51,,,,,,,,,,0.3981912978971991,0.7022238508082288,-0.0014183281056424496,0.10043057528415034,0.7417871494485411,-0.1414000385939147,3.0303030303002743
52,NotAtaxic,Switch,SwitchLeft01,S2,Intersplit,27,1,10,0.1785355384903795,,,,,,,
53,,,,,,,,,,0.16157073203965666,-1.3540917511169228,0.0007795912872315264,0.22524438723171158,0.1409607704239022,-0.23960730042118428,6.0606060606114625
54,NotAtaxic,Switch,SwitchLeft01,S2,Intersplit,28,2,11,1.3514817363084006,,,,,,,
55,,,,,,,,,,0.8792819398822473,-1.888723785748958,0.0009279304639941699,0.5470969460227337,0.2684728063717756,0.6064675071022663,6.060606060601458
56,NotAtaxic,Switch,SwitchLeft01,S2,Split,29,1,5,-5.631726197522028,,,,,,,
57,,,,,,,,,,-2.968587779035488,6.917708587847594,-0.1449152778062038,14.395372795336215,5.249782523723496,-11.251584447995555,-24.24242424242857
58,NotAtaxic,Switch,SwitchLeft01,S2,Intersplit,30,3,12,3.250892716224712,,,,,,,
59,,,,,,,,,,1.6614663480508227,-3.9236888207139913,-0.0023329795361531347,0.8686874852035942,1.2277005898831135,1.8585436271899027,3.0303030302966363
60,NotAtaxic,Switch,SwitchLeft01,S2,Intersplit,31,4,13,0.3865559895833144,,,,,,,
