,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Asym
0,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,1,0,0,-0.42663728347930885
1,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,2,1,1,0.0
2,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,3,2,2,1.2165108112373844
3,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,4,3,3,-0.6804341017597721
4,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,5,4,4,-0.826009114583286
5,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,6,5,5,-0.744274409130341
6,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,7,0,0,-8.784808534564391
7,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,8,1,1,-7.6439135002366925
8,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,9,2,2,-8.591653843118678
9,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,10,3,3,-4.788909295592603
10,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,11,4,4,-6.79982503255205
11,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,12,5,5,-6.3306249753393615
12,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,13,6,6,-5.490297259706466
13,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,14,7,7,-7.225236989030947
14,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,15,8,8,-5.555894639756872
15,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,16,9,9,-5.4434728140782624
16,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,17,10,10,-2.7842203776041288
17,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,18,11,11,-3.080526024404165
18,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,19,12,12,-2.5909192634350973
19,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,20,13,13,-1.380211415916932
