,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Perc,Asym,coo,double_support,stance_speed,swing_length,coo_stance,coo_swing,duty_factor,stance_duration
0,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,1,0,0,0,-0.8130160245028151,-0.28854716907845557,-5.439530430487792,0.00028144661778882474,0.9648872144294245,-1.9983229974303782,1.2685172084204623,-3.7618562637658783,-12.121212121211215
1,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,1,0,0,1,-2.1453549163509535,-0.35984058572785216,-6.446425316888694,-0.000886292798143673,3.165189184323708,-1.833339267306883,1.6149405277136708,-5.545264155095921,-19.696969696967244
2,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,1,0,0,2,2.7310766354956115,0.3463395757707275,0.12876531871271713,0.01485189791029154,-7.364138208254474,-1.2202480585888225,0.6921741215870156,3.454899070073971,6.0606060606096435
3,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,1,0,0,3,3.5486949573864024,0.24248711662191624,9.357008340059185,-0.00866297220310655,-2.01747393367269,1.7961705011951778,-3.06562481504497,-3.654696537630457,-3.637978807091713e-12
4,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,1,0,0,4,-0.3939387774226333,0.9878775086066298,1.2880307490227727,0.006503129558460857,-2.8137669418797486,0.43382779516352343,1.0512634559914318,0.6271839245161139,-1.8189894035458565e-12
5,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,1,0,0,5,2.900094696969717,0.8612334126173806,-6.019842246336614,-0.009565467353763096,-0.4720668600063789,-0.6316051973565493,-0.5005846119890123,2.050761644448407,16.66666666666424
6,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,1,0,0,6,2.124562889638611,-1.197529802418714,1.1831137822360578,0.00621970443035047,1.1753891453598158,-2.7862911031703845,-1.498020056522222,1.7164064490091846,-6.0606060606078245
7,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,1,0,0,7,-6.573717521898686,-2.243180066246751,-1.7501463862381126,5.000677159713862e-05,-2.408360953282795,-1.6814719306098027,-0.5992760963310957,0.5886284519424194,-9.090909090911737
8,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,1,0,0,8,3.938416760377237,-0.7639119119355087,-1.4113899283390818,0.00046986083668668077,5.214448408646973,-0.6531644108320052,1.3308168661715172,-2.7404065792242136,1.4551915228366852e-11
9,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,1,0,0,9,5.188157823350764,-2.679632809828405,-2.5477535647027176,-0.028836374528044967,2.237739948311173,2.0817518511568665,-3.618967919264975,-3.5698549086742872,-3.0303030302966363
10,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,2,1,1,0,-0.6966066566896245,-1.3080962980636244,-2.160658934187034,-0.0012710752265213676,4.0393713748815685,-0.0650902950403065,-1.8453636554756656,0.5141945701125437,1.1368683772161603e-12
11,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,2,1,1,1,2.695118297230124,0.35673777262371686,-1.4108026603099484,-0.012460776569545584,3.129454333372763,0.3283803149907669,0.11803738232376304,-4.995515811079649,-9.090909090908099
12,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,2,1,1,2,-3.713865954466499,-1.8972146390664335,5.569289179747842,0.00644564681734508,2.6511760673137275,-0.17256842719190502,-3.4443248401988455,2.554384552432186,6.0606060606060055
13,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,2,1,1,3,0.6870308307687196,0.48524105187618716,-7.881086898036052,0.00992524691175406,-2.6732781920770208,0.10485832137283069,1.8033499669546984,0.8289072487094344,-3.0303030303002743
14,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,2,1,1,4,-0.901902324021421,-0.6701719881307895,-2.5777835947327468,-0.016361678454830886,1.9584578697127313,-0.4983358672171079,0.6414972170434794,0.04231148042436317,6.0606060606041865
15,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,2,1,1,5,4.983011881510436,3.2559417313597976,-5.941061645510799,0.007882277428339773,-2.30632743450127,2.372728598238183,2.4581986244278653,-2.061559282732901,3.637978807091713e-12
16,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,2,1,1,6,-4.545909226542733,2.5033174104676874,2.103409225994957,-0.016805236916398708,-1.5395231921263957,2.004237897468286,2.8908517625597057,-3.416366063325615,-1.51515151516287
17,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,2,1,1,7,-5.4949673739346565,-2.2179353116738483,5.183228765336216,-0.0018183968251405946,-0.037330087989261074,-1.4854966751252903,0.6398053281637033,-0.8631318072139322,12.121212121204735
18,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,2,1,1,8,3.7921404597735346,2.7836953750764692,7.399869235032759,0.0040492876159399505,-2.1798182015467944,0.7276321455169636,2.2450329559018343,-2.111605900780255,-3.03030303030755
19,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,2,1,1,9,-0.16838613182608242,-0.5106449127197124,3.0258763738907257,-0.0076007926504530615,1.0040052009350688,-1.7053051187535004,-0.5537591799341044,1.6080578218710642,10.60606060606733
20,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,3,2,2,0,7.599416405263639,1.843140342018856,-4.296005312954466,0.002784609110744324,-6.02327597261683,1.6209153454712748,3.160911906849293,-6.228225949397796,-18.181818181817107
